case,status,gate_passed,target_waist_um,source_object_waist_um,fitted_waist_x_um,fitted_waist_y_um,fitted_waist_effective_um,waist_effective_relative_error,Gaussian_fit_NRMSE,ellipticity,boundary_max_intensity_over_peak,incident_plane_power_W_reintegrated,incident_plane_power_W_reported,incident_plane_reintegration_relative_error,top_electrode_power_fraction,bottom_electrode_power_fraction,total_electrode_power_fraction,flake_power_fraction,E2_x_fraction,E2_y_fraction,E2_z_fraction,failed_gates
w4p5_initial,FAILED_EXPLICIT_WAIST_SCALAR_GAUSSIAN_SOURCE_ONLY_GATE,False,4.5,4.468824333629503,5.7049564049595265,5.749383746822768,5.727126996235263,0.27269488805228076,0.018181883886767558,0.007757293964476505,0.0003465346565822837,3.70633279340259e-14,3.706332793402589e-14,1.7027308645898473e-16,0.0016139513303413122,0.0009507107192886497,0.0025646620496299617,0.9077373983991053,0.8175711104297441,0.0076852481756521296,0.17474364139460385,requested_vs_realized_fitted_waist_x_lt_0p5_percent;requested_vs_realized_fitted_waist_y_lt_0p5_percent;Gaussian_fit_NRMSE_lt_0p5_percent;xy_ellipticity_lt_0p5_percent
w6p5_initial,FAILED_EXPLICIT_WAIST_SCALAR_GAUSSIAN_SOURCE_ONLY_GATE,False,6.5,6.454968481909282,6.865238808861766,6.92004662670205,6.892588241057772,0.060398190931964905,0.014535886172471018,0.00795164062383357,2.7669515091490513e-05,8.252307136065388e-14,8.252307136065388e-14,0.0,0.0002210998742138179,8.066266239255928e-05,0.0003017625366063772,0.8622173687406326,0.9170789605883733,0.0018813190044260596,0.08103972040720056,requested_vs_realized_fitted_waist_x_lt_0p5_percent;requested_vs_realized_fitted_waist_y_lt_0p5_percent;Gaussian_fit_NRMSE_lt_0p5_percent;xy_ellipticity_lt_0p5_percent
w8p0_cal2,FAILED_EXPLICIT_WAIST_SCALAR_GAUSSIAN_SOURCE_ONLY_GATE,False,8.0,7.8133602375037805,7.994828693109837,8.03637821131216,8.015576530261635,0.0019470662827043572,0.005772775628567238,0.005183579558300384,2.065065773438565e-06,1.2256720351045706e-13,1.2256720351045706e-13,0.0,0.002282539954673268,0.0009139024449415937,0.0031964423996148615,0.8141024168696973,0.9468769683331176,0.0007571028944720893,0.05236592877241025,Gaussian_fit_NRMSE_lt_0p5_percent;xy_ellipticity_lt_0p5_percent
w8p75_initial,FAILED_EXPLICIT_WAIST_SCALAR_GAUSSIAN_SOURCE_ONLY_GATE,False,8.75,8.689380648724036,8.814556405840689,8.845576849210277,8.83005300547865,0.009148914911845704,0.0023464217935483364,0.0035130474862884033,3.0523933790918645e-07,1.524883213703442e-13,1.5248832137034418e-13,1.655441462022791e-16,0.00531825050636398,0.0024267174040948233,0.007744967910458803,0.7832558299910527,0.9578962918148344,0.0004675594700669565,0.04163614871509866,requested_vs_realized_fitted_waist_x_lt_0p5_percent;requested_vs_realized_fitted_waist_y_lt_0p5_percent
w8p75_calibrated,VALIDATED_EXPLICIT_WAIST_SCALAR_GAUSSIAN_SOURCE_ONLY,True,8.75,8.610602974768,8.739128864800731,8.771046684858065,8.755073229742734,0.0005797976848839426,0.0025696148381128404,0.003645631075121585,3.507254896669817e-07,1.4966633675666865e-13,1.4966633675666863e-13,1.686655096537439e-16,0.00498516349789071,0.0022527443823213166,0.0072379078802120266,0.7859846113732517,0.9570643361732635,0.0004867880450386778,0.04244887578169784,
w12_validated,VALIDATED_PAPER_LIKE_SCALAR_GAUSSIAN_SOURCE_ONLY,True,12.0,11.916864889678678,11.996332674298937,12.005906747759084,12.001118756296364,9.322969136367949e-05,0.0007580776619166287,0.0007977650161549522,0.00012279402366015808,2.9028929127547816e-13,2.9028929127547816e-13,0.0,0.026957160373653196,0.015084456797181773,0.042041617170834975,0.6791975354536182,0.9781568970220225,0.00012390915304467037,0.021719193824932898,
