case,outer_xy_nm,fine_xy_nm,fine_half_span_um,P_Q_W,P_six_W,closure_percent,auto_shutoff,native_Yee_cells
coarse,100,100,27.5,2.2566605075568207e-11,2.253087111043805e-11,0.15860001575172772,9.97181e-06,64064520
nested_refined,100,50,22,2.2554323620511252e-11,2.2513910956067724e-11,0.17950086292153708,9.93242e-06,170135680
