comparison,first_raw_power_W,second_raw_power_W,raw_power_signed_difference_W,raw_power_ratio_second_over_first,equal_power_spatial_Q_NRMSE,equal_power_spatial_Q_Pearson_correlation,equal_power_spatial_Q_cosine_similarity
planar_a_vs_edge_a,3.9954570409619855e-11,2.2566605075568204e-11,-1.7387965334051652e-11,0.564806600201484,1.0738229826806325,0.6804957768531177,0.69557676139064
planar_b_vs_edge_b,5.934078088933017e-11,2.971653440358714e-11,-2.962424648574303e-11,0.500777609566819,0.9993506177293622,0.6897841672388844,0.7066075881487653
planar_a_vs_planar_b,3.9954570409619855e-11,5.934078088933017e-11,1.938621047971031e-11,1.4852063301134304,0.1501457756801355,0.9875988556983494,0.9886764291347622
edge_a_vs_edge_b,2.2566605075568204e-11,2.971653440358714e-11,7.149929328018934e-12,1.3168367286118647,0.289751117755596,0.9557585868899809,0.9574935762322211
