case,P_Q_W,P_six_W,closure,auto_shutoff,Qx_W,Qy_W,Qz_W,hotspot_x_um,hotspot_y_um,hotspot_z_nm,near_stack_downward_fit_waist_x_um,near_stack_downward_fit_waist_y_um,near_stack_fit_residual,flake_total_E2_fit_waist_x_um,flake_total_E2_fit_waist_y_um,flake_total_E2_fit_residual,solver_wall_time_s
planar_a,3.9954570409619855e-11,3.9930466295152346e-11,0.0006036522160632967,7.58446e-06,5.770458428560883e-15,3.993368436307391e-11,1.5115588117384e-14,-6.246867986000465e-14,-6.246867986000465e-14,-4.999999999999865,12.113443891828432,11.891727046967882,0.00036655589363135947,12.143162303172092,11.92994969367787,0.0003234282816711544,480.996523
planar_b,5.934078088933018e-11,5.931736740386512e-11,0.000394715519076254,8.48733e-06,5.931922504454857e-11,1.3080815292802349e-15,2.0247763252330657e-14,-6.246867986000465e-14,-6.246867986000465e-14,-4.999999999999865,11.924318960469106,12.081152550254764,0.0002975513475522145,11.97731953323758,12.091697973651032,0.0002359898005114535,337.719913
edge_a,2.2566605075568207e-11,2.253087111043805e-11,0.0015860001575172772,9.97181e-06,1.9926055321818145e-12,2.0509136286816348e-11,6.486325657004438e-14,0.1999999999999375,-0.5000000000000624,-4.999999999999865,12.099453632187469,11.934200899472991,0.007616622607743553,9.535537588030936,10.35365708874442,0.04048657018786375,463.105137
edge_b,2.971653440358715e-11,2.970831307085807e-11,0.0002767350912679393,9.59436e-06,2.9427007849466926e-11,2.6900955374361556e-13,2.0517000376611332e-14,-0.1000000000000625,-0.20000000000006252,-4.999999999999865,11.95603203314966,12.08630327552809,0.0047127747600271275,12.16855348817903,11.131585679747392,0.033565826248971316,347.459024
