polarization,P_Q_full_W_at_1Wm2,P_Q_TaIrTe4_W_at_1Wm2,P_six_W_at_1Wm2,closure,auto_shutoff,thermal_source_W_at_285uW,Tmax_K,Tavg_TaIrTe4_K,PTE_current_A,thermal_residual,energy_error
a,2.068891905818512e-11,1.9865124247267648e-11,2.0690037890163004e-11,5.4075878634150855e-05,9.46727e-06,4.7267561417641685e-05,0.16958001776181642,0.032701877481102655,3.404406014335927e-10,1.0383598524192027e-10,7.362954358757166e-12
b,2.868408954102906e-11,2.7695969179093425e-11,2.8684600942937254e-11,1.782844771698581e-05,9.68429e-06,6.561667364013426e-05,0.23214408462467945,0.04518331949912849,-3.4722859201633105e-09,1.0449535715991601e-10,6.1609086549476175e-12
