polarization,P_Q_full_W,P_Q_TaIrTe4_W,mapped_power_W_at_284p40uW,Tmax_rise_K,Tvolume_average_rise_K,PTE_current_A,positive_contribution_A,negative_contribution_A,x_component_A,y_component_A,optical_closure,thermal_residual,energy_balance_error
a,1.3303154365266294e-11,1.2113733492507977e-11,1.1856170758696658e-05,0.27858970189293375,0.007757792234470522,1.3699611729926187e-08,1.492155120330657e-08,-1.2219394733803802e-09,6.660130454875615e-09,7.039481275050573e-09,0.0009329368325249523,1.0076757390789056e-10,1.1211737014406758e-11
b,1.5345087775462484e-11,1.409832745075437e-11,1.3242878172519318e-05,0.15283275492209442,0.008734652195242653,1.1462797243763208e-08,1.328929302392303e-08,-1.8264957801598192e-09,5.620713388501213e-09,5.842083855261995e-09,0.0005223700384532067,1.0160933377328463e-10,8.859292670052084e-12
